¿Cuál es su edad?,¿Cuál es su nivel educativo?,¿Cuál es su ocupación?,¿En qué tipo de vivienda reside?,¿Cuál es su nivel de ingresos mensual?,¿En qué área o zona de la ciudad reside?,¿Qué dispositivos electrónicos posee actualmente? ,¿Con qué frecuencia actualiza o reemplaza estos dispositivos?,¿Cuántos dispositivos electrónicos ha adquirido en el último año?,¿Cuántos dispositivos electrónicos tiene en desuso actualmente?,"Cuando un dispositivo electrónico deja de funcionar, ¿cuál es su primera acción?",¿Qué hace con los dispositivos electrónicos cuando ya no los utiliza?,¿Con qué frecuencia lleva sus dispositivos electrónicos al reciclaje?,¿Qué tipo de dispositivos electrónicos ha reciclado en el último año?,¿Qué tipo de dispositivos electrónicos ha desechado en el último año?,¿Está informado sobre los centros de reciclaje para residuos electrónicos en su área?,¿Ha participado alguna vez en campañas de reciclaje de dispositivos electrónicos? ,¿Cuán importante considera el reciclaje de dispositivos electrónicos?,¿Qué barreras enfrenta para reciclar dispositivos electrónicos? ,¿Qué factores le motivarían a reciclar más sus dispositivos electrónicos? ,"¿Está familiarizado con tecnologías que monitorean el uso de dispositivos electrónicos?",¿Estaría dispuesto a utilizar una aplicación móvil que le ayude a gestionar y reciclar sus dispositivos electrónicos?,¿Qué tan cómodo se sentiría usando aplicaciones o dispositivos que ayudan a gestionar el reciclaje de electrónicos?,¿Qué características le gustaría ver en una aplicación de gestión de residuos electrónicos?,"¿Está familiarizado con el concepto de ""Ciudad Inteligente""?",¿Cuántos dispositivos electrónicos ha reemplazado o reparado en el último año?,¿Qué tipo de prácticas sostenibles sigue con respecto a sus dispositivos electrónicos? 
35-44 años,Educación técnica o tecnológica,Trabajador a tiempo completo,Casa,$400 - $800,Centro,"Televisor, Computadora, Teléfono movil inteligente",Cada 3-5 años,2,1,Intenta repararlo usted mismo,Los guarda,Nunca,Computadora,Televisor,No,No,Importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar",No,Si,Muy cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso, Recompensas por reciclar",No,2,Reutilización
18-24 años,Educación universitaria,Trabajador a tiempo completo,Casa,Menos de $400,Sur,"Televisor, Computadora, Teléfono movil inteligente, Consola de videojuegos",Cada 3-5 años,2,1,Lo lleva a un servicio técnico,Los dona,A veces,"Televisor, Teléfono móvil inteligente","Televisor, Computadora, Baterías, Teléfono móvil inteligente, Teléfono móvil básico",Sí,Si,Muy importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Más puntos de recolección cerca de mi domicilio, Garantía de que los datos personales serán eliminados de forma segura",Sí,Si,Muy cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso",Sí,1,Reutilización
45-54 años,Educación secundaria completa,Trabajador a tiempo completo,Casa,$400 - $800,Centro,"Televisor, Computadora, Teléfono movil inteligente, Teléfono móvil básico",Cada 3-5 años,2,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Teléfono móvil inteligente,Televisor,No,No,Importante,Falta de información,"Más puntos de recolección cerca de mi domicilio, Garantía de que los datos personales serán eliminados de forma segura",No,No,Cómodo,Recordatorios para reciclar dispositivos en desuso,No,1,Reparación
35-44 años,Educación secundaria completa,Trabajador a tiempo completo,Apartamento,$400 - $800,Centro,"Televisor, Computadora, Teléfono movil inteligente",Cada 3-5 años,1,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Computadora,Computadora,No,No,Importante,Falta de centros de reciclaje,"Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",Sí,Si,Cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso",No,2,Reparación
18-24 años,Educación universitaria,Estudiante,Casa,No genero ingreso,Sur,"Televisor, Computadora, Teléfono movil inteligente, Tablet, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Más de 10 años,2,2,Lo lleva a un servicio técnico,Los guarda,Nunca,Ninguno,"Teléfono móvil inteligente, Tablet",No,No,Importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)",No,No,Poco cómodo,Información sobre el impacto ambiental de los dispositivos,No,1,No conozco sobre prácticas sostenibles
18-24 años,Educación secundaria completa,Estudiante,Casa,Menos de $400,Sur,"Televisor, Computadora, Teléfono movil inteligente",Cada 3-5 años,1,1,Lo lleva a un servicio técnico,Los guarda,A veces,Teléfono móvil inteligente,Computadora,No,No,Importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar",No,Si,Cómodo,"Información sobre puntos de reciclaje cercanos, Información sobre el impacto ambiental de los dispositivos",No,1,Reutilización
18-24 años,Educación universitaria,Estudiante,Apartamento,$400 - $800,Norte,Teléfono movil inteligente,Cada 3-5 años,1,0,Intenta repararlo usted mismo,Los guarda,Nunca,Ninguno,Baterías,No,No,Importante,Falta de información,Más puntos de recolección cerca de mi domicilio,No,No,Poco cómodo,Recompensas por reciclar,No,1,No conozco sobre prácticas sostenibles
25-34 años,Educación universitaria,Estudiante,Casa,$400 - $800,Norte,"Televisor, Computadora",Cada 6-10 años,2,2,Intenta repararlo usted mismo,Los guarda,A veces,"Televisor, Teléfono móvil inteligente","Teléfono móvil básico, Tablet",No,No,Importante,Falta de centros de reciclaje,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar",No,Si,Poco cómodo,"Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos",Sí,2,Reutilización
18-24 años,Educación secundaria completa,Estudiante,Casa,No genero ingreso,Sur,Televisor,Nunca,0,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Ninguno,Baterías,No,No,Importante,Falta de información,Garantía de que los datos personales serán eliminados de forma segura,Sí,Si,Cómodo,"Información sobre puntos de reciclaje cercanos, Información sobre el impacto ambiental de los dispositivos",Sí,1,Reutilización
25-34 años,Educación universitaria,Estudiante,Casa,Menos de $400,Sur,"Televisor, Computadora, Teléfono movil inteligente",Cada 3-5 años,2,1,Intenta repararlo usted mismo,Los guarda,Nunca,"Electrodomésticos inteligentes (nevera, lavadora, etc.)","Computadora, Baterías, Teléfono móvil inteligente",No,No,Muy importante,Falta de información,"Más puntos de recolección cerca de mi domicilio, Garantía de que los datos personales serán eliminados de forma segura",Sí,Si,Poco cómodo,"Información sobre puntos de reciclaje cercanos, Consejos para prolongar la vida útil de los dispositivos",Sí,2,Reutilización
25-34 años,Educación universitaria,Estudiante,Casa,Menos de $400,Norte,"Televisor, Computadora, Teléfono movil inteligente",Cada 3-5 años,0,1,Lo lleva a un servicio técnico,Los guarda,A veces,Televisor,Computadora,No,No,Importante,Falta de centros de reciclaje,Mayor información sobre cómo y dónde reciclar,No,No,Cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso",No,1,Reparación
35-44 años,Educación universitaria,Estudiante,Casa,$801 - $1200,Norte,"Televisor, Computadora, Teléfono movil inteligente, Teléfono móvil básico, Electrodomésticos inteligentes (nevera, lavadora, etc.), camaras de seguridad",Cada 3-5 años,3,2,Intenta repararlo usted mismo,Los tira a la basura,A veces,"Televisor, Baterías","Televisor, Baterías, computadoras",No,No,Importante,Falta de centros de reciclaje,Más puntos de recolección cerca de mi domicilio,No,Si,Cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos, Recompensas por reciclar",No,2,Reutilización
18-24 años,Educación universitaria,Estudiante,Vivienda compartida,Menos de $400,Norte,"Televisor, Computadora, Teléfono movil inteligente",Cada 6-10 años,1,2,Intenta repararlo usted mismo,Los guarda,A veces,"Televisor, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Consola de videojuegos,No,No,Poco importante,Falta de centros de reciclaje,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)",No,Si,Poco cómodo,"Información sobre puntos de reciclaje cercanos, Recompensas por reciclar",No,1,Reutilización
18-24 años,Educación universitaria,Estudiante,Casa,$400 - $800,Sur,"Televisor, Computadora, Teléfono movil inteligente, Teléfono móvil básico, Tablet, Consola de videojuegos, Electrodomésticos inteligentes (nevera, lavadora, etc.), Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)",Cada 3-5 años,2,1,Lo lleva a un servicio técnico,Los dona,A veces,"Televisor, Baterías, Teléfono móvil básico","Baterías, Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)",No,No,Importante,Falta de centros de reciclaje,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio, Garantía de que los datos personales serán eliminados de forma segura, Conocer el impacto ambiental positivo de mi acción",Sí,Si,Cómodo,"Información sobre puntos de reciclaje cercanos, Recompensas por reciclar",Sí,2,Donación
18-24 años,Educación universitaria,Estudiante,Casa,Menos de $400,Centro,"Televisor, Computadora, Teléfono movil inteligente, Consola de videojuegos",Cada 3-5 años,1,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Consola de videojuegos,Teléfono móvil inteligente,No,No,Importante,Falta de centros de reciclaje,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar",No,Si,Muy cómodo,"Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos, Recompensas por reciclar",No,1,Reparación
18-24 años,Educación universitaria,Estudiante,Apartamento,Menos de $400,Norte,"Computadora, Teléfono movil inteligente, Consola de videojuegos",Cada 6-10 años,1,1,Intenta repararlo usted mismo,Los guarda,Nunca,Computadora,Televisor,Sí,No,Muy importante,Falta de información,"Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Muy cómodo,"Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos, Recompensas por reciclar",No,2,Reutilización
18-24 años,Educación universitaria,Estudiante,Casa,Menos de $400,Centro,"Computadora, Teléfono movil inteligente, Tablet, Consola de videojuegos",Cada 6-10 años,1,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Teléfono móvil inteligente,Computadora,No,No,Importante,Falta de información,"Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Cómodo,"Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos, Recompensas por reciclar",No,2,Reparación
18-24 años,Educación universitaria,Estudiante,Casa,Menos de $400,Centro,"Teléfono movil inteligente, Consola de videojuegos, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 6-10 años,1,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Consola de videojuegos,Computadora,No,No,Importante,Falta de información,"Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Cómodo,"Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos, Consejos para prolongar la vida útil de los dispositivos",No,1,Reparación
18-24 años,Educación universitaria,Estudiante,Vivienda compartida,Menos de $400,Centro,"Televisor, Computadora, Teléfono movil inteligente, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 3-5 años,1,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Computadora,Televisor,No,No,Importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar, Garantía de que los datos personales serán eliminados de forma segura",Sí,Si,Cómodo,"Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos, Recompensas por reciclar",No,1,Reutilización
18-24 años,Educación universitaria,Estudiante,Casa,$400 - $800,Norte,"Computadora, Teléfono movil inteligente, Consola de videojuegos, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 6-10 años,1,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Teléfono móvil inteligente,Consola de videojuegos,No,No,Importante,Falta de información,"Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio, Conocer el impacto ambiental positivo de mi acción",No,Si,Cómodo,"Recordatorios para reciclar dispositivos en desuso, Recompensas por reciclar, Consejos para prolongar la vida útil de los dispositivos",No,1,Donación
18-24 años,Educación secundaria completa,Estudiante,Casa,$400 - $800,Norte,"Televisor, Computadora, Teléfono movil inteligente, Teléfono móvil básico, Consola de videojuegos",Cada 6-10 años,0,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Teléfono móvil inteligente,Teléfono móvil inteligente,No,No,Importante,Costos,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Cómodo,Información sobre puntos de reciclaje cercanos,No,1,Reutilización
18-24 años,Educación universitaria,Estudiante,Casa,$400 - $800,Centro,"Televisor, Teléfono movil inteligente, Consola de videojuegos, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 6-10 años,1,0,Lo lleva a un servicio técnico,Los guarda,Nunca,Computadora,Tablet,No,No,Importante,Falta de información,"Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio, Garantía de que los datos personales serán eliminados de forma segura",No,Si,Muy cómodo,Información sobre puntos de reciclaje cercanos,No,1,Reparación
18-24 años,Educación universitaria,Estudiante,Casa,$400 - $800,Norte,"Televisor, Computadora, Teléfono móvil básico, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 6-10 años,1,1,Lo lleva a un servicio técnico,Los guarda,Nunca,"Televisor, Computadora, Consola de videojuegos, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Computadora,No,No,Muy importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Muy cómodo,"Información sobre puntos de reciclaje cercanos, Información sobre el impacto ambiental de los dispositivos",No,1,No conozco sobre prácticas sostenibles
18-24 años,Educación universitaria,Trabajador a tiempo completo,Casa,Menos de $400,Sur,"Computadora, Teléfono movil inteligente, Teléfono móvil básico, Consola de videojuegos, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Más de 10 años,1,1,Intenta repararlo usted mismo,Los guarda,Nunca,Consola de videojuegos,Computadora,No,No,Muy importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar",No,Si,Muy cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos",No,1,Reparación
18-24 años,Educación universitaria,Estudiante,Apartamento,Menos de $400,Norte,"Computadora, Teléfono movil inteligente, Consola de videojuegos",Cada 6-10 años,0,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Teléfono móvil inteligente,Teléfono móvil inteligente,No,No,Muy importante,Falta de centros de reciclaje,"Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Muy cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso, Recompensas por reciclar",No,2,Reutilización
18-24 años,Educación universitaria,Desempleado,Casa,No genero ingreso,Norte,"Televisor, Computadora, Consola de videojuegos",Nunca,1,1,Lo guarda sin usar,Los guarda,Nunca,Ninguno,Tablet,No,No,Muy importante,Falta de centros de reciclaje,Conocer el impacto ambiental positivo de mi acción,Sí,Si,Cómodo,"Información sobre puntos de reciclaje cercanos, Recompensas por reciclar",No,1,Reciclaje
18-24 años,Educación universitaria,Estudiante,Casa,Menos de $400,Norte,"Televisor, Computadora, Teléfono movil inteligente, Consola de videojuegos, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 6-10 años,1,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Computadora,Televisor,No,No,Muy importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Muy cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos",No,1,Reparación
25-34 años,Educación universitaria,Trabajador a tiempo completo,Casa,$801 - $1200,Sur,"Televisor, Computadora, Teléfono movil inteligente, Electrodomésticos inteligentes (nevera, lavadora, etc.), Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)",Cada 1-2 años,2,1,Lo reemplaza por uno nuevo,Los tira a la basura,Nunca,Ninguno,"Baterías, Teléfono móvil inteligente, Electrodomésticos inteligentes (nevera, lavadora, etc.)",No,No,Importante,Falta de información,Mayor información sobre cómo y dónde reciclar,Sí,Si,Cómodo,"Información sobre puntos de reciclaje cercanos, Información sobre el impacto ambiental de los dispositivos, Recompensas por reciclar, Consejos para prolongar la vida útil de los dispositivos",Sí,1,No sigo prácticas sostenibles
